state,drug_addicts,population,lat,lon
Johor,2081,4020.0,2.0497324170716786,103.39081030087064
Kedah,2196,2151.7,5.94563228095401,100.61686000627859
Kelantan,2167,1812.3,5.279176900878657,102.02860938977985
Melaka,539,1004.5,2.322313798825246,102.30717366312302
Negeri Sembilan,709,1204.2,2.774017642004203,102.20665140926998
Pahang,977,1601.5,3.7319448079227673,102.54201752932583
Perak,1637,2515.8,4.770013690799362,101.10692498593946
Perlis,213,287.6,6.505029808805093,100.24207304757978
Pulau Pinang,1358,1740.0,5.369613739690685,100.39921440084846
Sabah,644,3412.6,5.354241650198492,117.12959834084383
Sarawak,712,2465.6,2.593282730015462,113.30672983914421
Selangor,1963,7014.7,3.270731811740789,101.49885976181157
Terengganu,2033,1170.7,4.9265860249989615,102.95275718533097
W.P. Kuala Lumpur,857,1964.0,3.1326867971330707,101.68548549488689
W.P. Labuan,48,96.0,5.309072191324043,115.21779033774108
W.P. Putrajaya,71,115.2,2.905215925628435,101.68379698581046
